"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1003","@kdrama_menfess gue nonton drama yg rilis thn ini dikit doang si dan menurut gue itu bagus semua 
1. so i married t… https://t.co/iHKKD8k9Nw",FALSE,0,"kdrama_menfess",2021-12-06 11:24:05,TRUE,"1467668317162729478","1467817113658138626","1012588105591713793","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diodoiku",0,FALSE,FALSE,NA,NA
"1004","Duolingo: TikTok dan Squid Game Jadi Alasan Orang Belajar Bahasa Baru  #uzoneID #lifestyle #viral https://t.co/dJrNAjj7aB",FALSE,0,NA,2021-12-06 11:21:22,FALSE,NA,"1467816429877489666",NA,"<a href=""http://www.uzone.id"" rel=""nofollow"">UZoneID</a>","uzoneindonesia",0,FALSE,FALSE,NA,NA
"1005","@kdrama_menfess anak setan (andrew), couple boneka squid game, dokter sinting, kang vlog nyebelin + bapaknya, sama… https://t.co/h0JMPaueip",FALSE,0,"kdrama_menfess",2021-12-06 11:17:49,TRUE,"1467814293429108737","1467815535849054211","1012588105591713793","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chanhoneys",0,FALSE,FALSE,NA,NA
"1006","@theonewithtwt @ensunki gara2 squid game dia niru saebyok mulu<U+0001F923><U+0001F923><U+0001F923>",FALSE,0,"theonewithtwt",2021-12-06 11:09:50,FALSE,"1467812777033035785","1467813528509640706","1225117055906537472","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_sasarswt",0,FALSE,FALSE,NA,NA
"1007","@thedaymetnight Aq mksdnya aq
Sumpa kalo ga ntn squid game mungkin aku ga akan kepo",FALSE,0,"thedaymetnight",2021-12-06 11:07:15,FALSE,"1467812641728983042","1467812876425449476","1302166105935482881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","venacavatoapex",0,FALSE,FALSE,NA,NA
"1008","@glowinpjm followed babe! punya gue yg avanya taehyung pake kostum squid game guard",FALSE,0,"glowinpjm",2021-12-06 11:05:05,FALSE,"1467811894484357122","1467812333737054212","1244912753564725248","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elpixirius_",0,FALSE,FALSE,NA,NA
"1009","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/ShlZlX43bv",FALSE,0,"itsnewttt",2021-12-06 11:04:38,TRUE,"1467812219291258880","1467812221359063045","1243159666638503938","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsnewttt",0,FALSE,FALSE,NA,NA
"1010","<U+0001F37F>Netflix Premium<U+0001F37F>
—ANTI VPN

Sharing
<U+2611><U+FE0F>13k/7hr
<U+2611><U+FE0F>40k/bln
<U+2611><U+FE0F>115k/3bln

Private
<U+2611><U+FE0F>175k/bln 

Dijamin:
<U+2714><U+FE0F>Profil di Pin… https://t.co/SXFEHhjXrs",FALSE,0,"itsnewttt",2021-12-06 11:04:38,TRUE,"1467812217672265731","1467812219291258880","1243159666638503938","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsnewttt",0,FALSE,FALSE,NA,NA
"1011","<U+0001F4C4> Artikel Billboard Vietnam

“....Aku tidak memiliki harapan apapun lagi di tahun ini, aku hanya ingin terus semaki… https://t.co/j8CcD4MK5z",FALSE,5,"arscyjid",2021-12-06 10:59:40,TRUE,"1467807647650902017","1467810968478502914","1342720533859733505","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","arscyjid",1,FALSE,FALSE,NA,NA
"1012","Hingga kini, banyak teka teki yang belum terpecahkan! https://t.co/mrwtVvcwCh",FALSE,0,NA,2021-12-06 10:45:39,FALSE,NA,"1467807440674590720",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","IDNTimesKorea",1,FALSE,FALSE,NA,NA
